platform,video_id,url,title,author,duration_sec,play_count,like_count,source_keywords,already_commented,first_seen_at
bilibili,BV11G411g79k,https://www.bilibili.com/video/BV11G411g79k/,· 2022-09-26,扫地机器人清扫垃圾,44,228000,,扫地机器人,0,2026-05-17T07:13:36.703Z
bilibili,BV1VMySBTEgf,https://www.bilibili.com/video/BV1VMySBTEgf/,2025爆款洗地机器人怎么选？别瞎选！！！,2025爆款洗地机器人怎么选？别瞎选！！！,770,117000,,扫地机器人,0,2026-05-17T07:13:36.702Z
bilibili,BV1Ma96BwEeh,https://www.bilibili.com/video/BV1Ma96BwEeh/,花1200元买了几十台拖地机器人，能把家里的脏污搞干净吗？,花1200元买了几十台拖地机器人，能把家里的脏污搞干净吗？,297,1007000,,扫地机器人,0,2026-05-17T07:13:36.701Z
bilibili,BV1CbHMerEJh,https://www.bilibili.com/video/BV1CbHMerEJh/,【工厂Boom】如何制造扫地机器人，扫地机器人的结构原理。,【工厂Boom】如何制造扫地机器人，扫地机器人的结构原理。,647,322000,,扫地机器人,0,2026-05-17T07:13:36.700Z
bilibili,BV1i35u6oEnU,https://www.bilibili.com/video/BV1i35u6oEnU/,给大家介绍地表最强扫地机器人！,给大家介绍地表最强扫地机器人！,87,1239,,扫地机器人,0,2026-05-17T07:13:36.699Z
bilibili,BV1qLLJ6ZEUg,https://www.bilibili.com/video/BV1qLLJ6ZEUg/,云鲸J6和002MAX扫地机器人该怎么选买扫地机，到底是选便宜够用的，还是一步到位上旗舰？本期我把云鲸J6和002MAX放在一起实测，拆清楚它们的共同点和差异,云鲸J6和002MAX扫地机器人该怎么选买扫地机，到底是选便宜够用的，还是一步到位上旗舰？本期我把云鲸J6和002MAX放在一起实测，拆清楚它们的共同点和差异,520,,,扫地机器人,0,2026-05-17T07:13:36.698Z
bilibili,BV1BqBeYFEYj,https://www.bilibili.com/video/BV1BqBeYFEYj/,【买前避坑贴】买了两台扫地机器人差距竟然这么大？！一台干到冒烟一台净添乱！！,【买前避坑贴】买了两台扫地机器人差距竟然这么大？！一台干到冒烟一台净添乱！！,270,55000,,扫地机器人,0,2026-05-17T07:13:36.697Z
bilibili,BV1hB4y1P7a7,https://www.bilibili.com/video/BV1hB4y1P7a7/,科沃斯N9+ VS 云鲸｜扫地机器人到底选哪个❓,科沃斯N9+ VS 云鲸｜扫地机器人到底选哪个❓,409,47000,,扫地机器人,0,2026-05-17T07:13:36.697Z
bilibili,BV1Ju4y1e7KZ,https://www.bilibili.com/video/BV1Ju4y1e7KZ/,· 2023-08-26,扫地机器人,189,17000,,扫地机器人,0,2026-05-17T07:13:36.695Z
bilibili,BV1Wb5x6JEPX,https://www.bilibili.com/video/BV1Wb5x6JEPX/,【6k价位扫地机横测】买前必看！2026年高端扫地机到底谁更权威？云鲸逍遥003max vs 石头G30S Pro vs 追觅X60 Pro,【6k价位扫地机横测】买前必看！2026年高端扫地机到底谁更权威？云鲸逍遥003max vs 石头G30S Pro vs 追觅X60 Pro,867,44000,,扫地机器人,0,2026-05-17T07:13:36.694Z
bilibili,BV1xS411F7A2,https://www.bilibili.com/video/BV1xS411F7A2/,过来人建议：扫地机和洗地机不值得你花太多花钱！,过来人建议：扫地机和洗地机不值得你花太多花钱！,290,734000,,扫地机器人,0,2026-05-17T07:13:36.693Z
bilibili,BV1Xx411c7cH,https://www.bilibili.com/video/BV1Xx411c7cH/,协议汇总活动中心活动专题页侵权申诉帮助中心社区中心壁纸站广告合作名人堂MCN管理中心高级弹幕品牌号官网,,,,,扫地机器人,0,2026-05-17T07:13:31.862Z
bilibili,BV1VAf4BGENo,https://www.bilibili.com/video/BV1VAf4BGENo/,反馈成功平台将做相应处理 撤销 稍后再看13.9万14507:423k档扫地机谁是真正的拖地实战派？双圆盘、滚筒、履带真实比拼小可实验室FineLab · 02-25,,,,,扫地机器人,0,2026-05-17T07:13:31.861Z
bilibili,BV1ix411q7TC,https://www.bilibili.com/video/BV1ix411q7TC/,反馈成功平台将做相应处理 撤销 稍后再看1.6万6505:34【超赞动画毕设】吉林大学珠海学院《扫地机器人》 |动画学术趴动画学术趴 · 2017-07-12,,,,,扫地机器人,0,2026-05-17T07:13:31.860Z
bilibili,BV1wLokBaEbf,https://www.bilibili.com/video/BV1wLokBaEbf/,反馈成功平台将做相应处理 撤销 稍后再看22.7万7713:20128小时狂测丨续航/清洁力/防缠毛/贴边/越障全项目实测，科沃斯T90 PRO VS 石头P20 Max，谁才是4K价位扫地机的KING安可可测评实验室 · 04-27,,,,,扫地机器人,0,2026-05-17T07:13:31.859Z
